Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,3626.97,наличный,Гродно,Белинвестбанк-CZNH-438,27-01-2022,16:54:15,успешно,нет,0.0
юр. лицо,списание средств,1701.13,безналичный,Могилев,Беларусбанк-WKOH-153,24-10-2013,21:09:50,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4881.86,безналичный,Витебск,БелАгропромбанк-EHMA-792,14-07-2010,06:38:31,успешно,да,118.68
юр. лицо,получение средств,2460.19,наличный,Гродно,БелАгропромбанк-IAYZ-032,01-07-2023,19:03:39,успешно,нет,0.0
физ. лицо,списание средств,1484.51,наличный,Гомель,Приорбанк-CCPZ-309,02-10-2001,01:43:49,успешно,да,26.65
юр. лицо,получение средств,3321.55,наличный,Витебск,Беларусбанк-TDXH-715,16-09-2011,21:29:38,успешно,нет,0.0
юр. лицо,списание средств,4423.75,безналичный,Гомель,Беларусбанк-MKDC-489,21-10-2022,10:25:13,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1470.36,наличный,Гродно,Приорбанк-IOHE-531,13-12-2018,07:21:31,неправильный ввод пин-кода,да,132.38
юр. лицо,получение средств,4502.14,безналичный,Гомель,Белинвестбанк-ABMG-512,17-07-2023,12:43:50,успешно,нет,0.0
физ. лицо,списание средств,4168.65,наличный,Могилев,БелАгропромбанк-QJHV-806,26-11-2021,04:26:03,неправильный ввод пин-кода,да,205.61
физ. лицо,получение средств,1459.02,наличный,Витебск,Приорбанк-XFFH-329,08-05-2003,21:02:14,успешно,нет,0.0
юр. лицо,списание средств,2420.16,наличный,Витебск,БелАгропромбанк-VZBF-980,07-04-2021,05:11:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1244.79,наличный,Брест,БелАгропромбанк-JCCN-373,17-10-2003,04:20:09,недостаточно средств,нет,0.0
физ. лицо,получение средств,4659.23,безналичный,Брест,Приорбанк-BUDW-255,12-09-2022,17:01:34,успешно,нет,0.0
юр. лицо,списание средств,1735.04,безналичный,Могилев,Приорбанк-JLVC-526,18-01-2004,05:50:23,успешно,да,154.39
физ. лицо,получение средств,686.39,безналичный,Гомель,Приорбанк-VRMQ-118,25-02-2011,20:52:21,успешно,нет,0.0
физ. лицо,получение средств,2640.79,безналичный,Брест,Белинвестбанк-ZZFL-239,17-08-2000,09:59:08,успешно,нет,0.0
физ. лицо,получение средств,2594.13,безналичный,Минск,Беларусбанк-MALR-114,02-07-2000,16:45:40,успешно,нет,0.0
юр. лицо,списание средств,3480.92,безналичный,Гомель,БелАгропромбанк-LXMM-879,06-10-2006,19:22:10,успешно,нет,0.0
юр. лицо,списание средств,1196.55,безналичный,Брест,Белинвестбанк-KHLE-669,21-12-2016,00:21:26,успешно,да,62.77
юр. лицо,списание средств,4652.79,безналичный,Минск,Беларусбанк-HZQQ-793,18-03-2012,02:42:52,неправильный ввод пин-кода,да,127.28
физ. лицо,списание средств,2008.15,наличный,Брест,Беларусбанк-DBQA-640,17-10-2004,23:33:44,неправильный ввод пин-кода,да,44.96
физ. лицо,получение средств,609.92,наличный,Гродно,Беларусбанк-KKQO-004,11-08-2015,11:39:49,успешно,нет,0.0
физ. лицо,получение средств,2311.09,безналичный,Витебск,МаксБанк-IVMO-615,22-01-2004,13:27:52,успешно,нет,0.0
юр. лицо,получение средств,2069.35,безналичный,Витебск,Белинвестбанк-UTQT-069,28-07-2014,05:41:11,успешно,нет,0.0
юр. лицо,списание средств,1436.86,безналичный,Брест,МаксБанк-KGZR-993,16-09-2001,13:24:11,недостаточно средств,да,126.16
физ. лицо,списание средств,456.77,наличный,Минск,Беларусбанк-SDTT-762,09-01-2013,21:27:58,неправильный ввод пин-кода,да,14.16
физ. лицо,получение средств,1208.54,наличный,Брест,Приорбанк-OTHR-602,02-07-2016,02:08:12,успешно,нет,0.0
юр. лицо,списание средств,2452.69,наличный,Могилев,МаксБанк-IGNZ-416,01-11-2006,13:38:19,успешно,да,27.64
юр. лицо,списание средств,4856.59,безналичный,Гомель,Белинвестбанк-MYDX-002,20-12-2019,04:47:20,успешно,да,207.69
физ. лицо,списание средств,4242.12,наличный,Витебск,Беларусбанк-YIKF-459,11-12-2014,12:54:14,успешно,нет,0.0
юр. лицо,списание средств,3455.44,наличный,Витебск,МаксБанк-UFXA-088,05-08-2013,09:52:09,успешно,нет,0.0
физ. лицо,получение средств,1041.29,безналичный,Гомель,Беларусбанк-GFIC-943,15-10-2020,20:03:52,успешно,нет,0.0
юр. лицо,получение средств,2925.89,безналичный,Могилев,МаксБанк-PNEG-910,04-12-2012,19:58:31,успешно,нет,0.0
юр. лицо,списание средств,829.31,безналичный,Гомель,МаксБанк-QMFL-208,30-08-2014,19:24:10,недостаточно средств,нет,0.0
юр. лицо,списание средств,4920.46,наличный,Минск,БелАгропромбанк-YOSS-880,24-12-2004,09:08:42,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4.57,безналичный,Минск,Приорбанк-LNRQ-756,22-03-2022,16:18:07,успешно,нет,0.0
юр. лицо,списание средств,197.09,безналичный,Гродно,МаксБанк-ETCJ-868,13-07-2016,18:34:26,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3230.27,безналичный,Минск,Белинвестбанк-QHZJ-151,27-06-2006,04:06:46,успешно,нет,0.0
физ. лицо,получение средств,2883.86,наличный,Гомель,Приорбанк-FAQF-074,14-04-2014,08:35:53,успешно,нет,0.0
юр. лицо,получение средств,3438.9,наличный,Минск,МаксБанк-REER-196,30-01-2019,08:33:04,успешно,нет,0.0
юр. лицо,получение средств,2405.89,безналичный,Брест,Беларусбанк-RCFB-908,29-07-2011,12:42:24,успешно,нет,0.0
физ. лицо,списание средств,527.55,наличный,Минск,БелАгропромбанк-FKMJ-237,22-02-2022,10:57:54,неправильный ввод пин-кода,да,48.62
физ. лицо,получение средств,4842.06,наличный,Минск,Приорбанк-GISQ-121,16-04-2011,09:23:37,успешно,нет,0.0
физ. лицо,получение средств,3812.64,наличный,Гомель,БелАгропромбанк-PKGA-461,23-08-2011,04:46:12,успешно,нет,0.0
юр. лицо,получение средств,282.8,безналичный,Гомель,Беларусбанк-UFYF-554,23-08-2021,07:13:19,успешно,нет,0.0
юр. лицо,списание средств,4421.19,безналичный,Могилев,БелАгропромбанк-EXEQ-483,01-12-2021,08:15:45,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2140.11,безналичный,Могилев,Приорбанк-RTEQ-716,20-07-2022,01:03:33,успешно,нет,0.0
физ. лицо,списание средств,3688.39,наличный,Гомель,Белинвестбанк-NYOT-952,26-05-2005,03:40:16,недостаточно средств,нет,0.0
физ. лицо,списание средств,3395.44,безналичный,Гродно,БелАгропромбанк-OKQT-090,20-01-2000,11:22:02,успешно,да,196.31
физ. лицо,списание средств,4310.16,наличный,Минск,МаксБанк-JHCP-830,22-02-2018,06:01:34,неправильный ввод пин-кода,да,425.84
юр. лицо,списание средств,764.94,наличный,Гомель,Белинвестбанк-HMIJ-497,06-04-2012,20:41:22,неправильный ввод пин-кода,да,58.76
физ. лицо,получение средств,2439.76,наличный,Брест,БелАгропромбанк-ECVA-118,10-08-2023,22:19:31,успешно,нет,0.0
физ. лицо,получение средств,2946.73,безналичный,Витебск,Приорбанк-AYJM-439,09-03-2016,21:55:27,успешно,нет,0.0
юр. лицо,получение средств,2779.06,наличный,Минск,Приорбанк-ZEIK-001,21-10-2019,19:37:13,успешно,нет,0.0
юр. лицо,получение средств,2657.84,наличный,Витебск,БелАгропромбанк-TUBJ-046,05-08-2006,13:48:31,успешно,нет,0.0
физ. лицо,получение средств,396.73,безналичный,Витебск,БелАгропромбанк-SVOL-978,08-03-2007,15:32:52,успешно,нет,0.0
физ. лицо,списание средств,4940.98,наличный,Гродно,Беларусбанк-XZWZ-450,21-09-2000,10:38:30,неправильный ввод пин-кода,да,365.91
юр. лицо,получение средств,3789.67,безналичный,Могилев,Белинвестбанк-QEBP-738,20-01-2005,08:54:17,успешно,нет,0.0
юр. лицо,списание средств,1400.8,безналичный,Минск,БелАгропромбанк-TWPC-106,14-09-2020,08:25:42,успешно,да,101.4
физ. лицо,получение средств,2979.51,безналичный,Гродно,МаксБанк-PXFD-293,20-04-2000,12:40:20,успешно,нет,0.0
юр. лицо,получение средств,1315.99,безналичный,Брест,Беларусбанк-KDQR-626,06-01-2009,12:17:57,успешно,нет,0.0
юр. лицо,списание средств,1245.4,безналичный,Гомель,МаксБанк-MBNV-248,17-11-2000,13:16:49,недостаточно средств,нет,0.0
юр. лицо,списание средств,521.17,безналичный,Могилев,БелАгропромбанк-WMCW-899,07-01-2010,10:08:54,недостаточно средств,да,24.54
юр. лицо,получение средств,3696.57,наличный,Минск,Приорбанк-AFEN-384,26-07-2011,07:41:08,успешно,нет,0.0
физ. лицо,списание средств,1810.66,безналичный,Витебск,Приорбанк-DCCK-336,24-10-2007,02:08:55,успешно,нет,0.0
физ. лицо,списание средств,2440.6,безналичный,Гродно,Беларусбанк-MHQG-564,31-10-2024,06:02:02,успешно,нет,0.0
физ. лицо,списание средств,785.09,наличный,Брест,Приорбанк-BNFB-388,19-06-2009,20:37:58,успешно,нет,0.0
физ. лицо,списание средств,709.22,безналичный,Брест,МаксБанк-DNDJ-582,06-11-2019,13:20:34,неправильный ввод пин-кода,да,11.54
физ. лицо,списание средств,4017.63,наличный,Гомель,БелАгропромбанк-HWZU-726,17-11-2006,15:03:06,неправильный ввод пин-кода,да,340.02
юр. лицо,получение средств,4771.21,наличный,Минск,МаксБанк-ACES-536,07-09-2002,15:58:40,успешно,нет,0.0
юр. лицо,получение средств,660.76,безналичный,Гродно,Белинвестбанк-PDLE-540,27-04-2007,22:28:24,успешно,нет,0.0
юр. лицо,получение средств,210.74,безналичный,Брест,МаксБанк-FBKL-785,13-05-2015,08:35:07,успешно,нет,0.0
физ. лицо,списание средств,1284.76,наличный,Гомель,БелАгропромбанк-RFNT-257,13-05-2016,18:15:03,успешно,нет,0.0
физ. лицо,списание средств,3397.62,наличный,Брест,Белинвестбанк-WPFZ-562,12-08-2015,15:53:53,недостаточно средств,да,187.94
физ. лицо,списание средств,4885.36,наличный,Витебск,БелАгропромбанк-YZZW-260,16-01-2022,12:20:17,неправильный ввод пин-кода,да,111.83
физ. лицо,получение средств,1984.05,безналичный,Гродно,Приорбанк-JACI-726,10-02-2019,03:30:47,успешно,нет,0.0
юр. лицо,получение средств,2383.06,безналичный,Гродно,Белинвестбанк-CDSA-545,16-12-2012,23:32:31,успешно,нет,0.0
юр. лицо,получение средств,3180.33,безналичный,Брест,Белинвестбанк-OFRK-978,04-06-2023,16:41:08,успешно,нет,0.0
физ. лицо,получение средств,4351.23,безналичный,Гродно,Беларусбанк-VXFO-942,29-09-2024,12:29:45,успешно,нет,0.0
физ. лицо,списание средств,2260.94,наличный,Могилев,МаксБанк-WIUA-928,11-08-2018,14:49:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2634.13,наличный,Минск,Приорбанк-SMVD-707,18-09-2001,18:23:30,успешно,да,64.33
юр. лицо,списание средств,2360.55,наличный,Гомель,БелАгропромбанк-LAFY-646,01-08-2006,07:34:25,недостаточно средств,нет,0.0
физ. лицо,получение средств,4273.31,наличный,Минск,МаксБанк-NNMK-979,12-02-2011,04:06:24,успешно,нет,0.0
юр. лицо,получение средств,2831.11,безналичный,Брест,МаксБанк-LPWR-799,16-02-2022,00:32:54,успешно,нет,0.0
физ. лицо,получение средств,4365.56,наличный,Витебск,Приорбанк-NERK-943,18-08-2007,16:07:58,успешно,нет,0.0
юр. лицо,получение средств,3833.84,наличный,Минск,Беларусбанк-UQZB-436,25-04-2016,01:25:16,успешно,нет,0.0
физ. лицо,списание средств,1632.67,наличный,Брест,Беларусбанк-GWWO-456,04-03-2021,10:50:29,недостаточно средств,нет,0.0
юр. лицо,получение средств,1682.65,безналичный,Витебск,Белинвестбанк-WMIT-196,22-04-2012,00:13:06,успешно,нет,0.0
физ. лицо,списание средств,4787.45,наличный,Могилев,Приорбанк-AIAQ-168,02-10-2010,02:05:13,успешно,нет,0.0
физ. лицо,получение средств,1400.91,безналичный,Витебск,Беларусбанк-KAOL-396,30-07-2014,11:19:57,успешно,нет,0.0
юр. лицо,получение средств,2014.03,безналичный,Минск,МаксБанк-TDGO-988,03-10-2019,08:15:33,успешно,нет,0.0
физ. лицо,получение средств,4416.02,безналичный,Гродно,Беларусбанк-JKDF-967,29-11-2009,21:28:14,успешно,нет,0.0
юр. лицо,списание средств,4917.3,наличный,Могилев,Белинвестбанк-GQAV-120,30-07-2011,20:19:55,успешно,да,461.7
юр. лицо,списание средств,2176.76,наличный,Гродно,МаксБанк-TWXU-851,04-10-2011,20:35:49,успешно,нет,0.0
физ. лицо,списание средств,2119.05,безналичный,Гомель,МаксБанк-NRFT-208,28-05-2024,04:34:08,успешно,нет,0.0
физ. лицо,списание средств,613.6,безналичный,Витебск,Белинвестбанк-GVSE-651,05-10-2000,15:17:34,неправильный ввод пин-кода,да,23.58
юр. лицо,получение средств,787.89,наличный,Брест,БелАгропромбанк-DOEX-741,23-10-2008,00:25:14,успешно,нет,0.0
юр. лицо,списание средств,2964.99,наличный,Гомель,БелАгропромбанк-EPYE-767,05-08-2023,06:43:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4077.19,наличный,Брест,Беларусбанк-QEAB-477,13-11-2014,22:20:51,успешно,да,98.13
юр. лицо,получение средств,4077.61,безналичный,Могилев,МаксБанк-WRHP-447,26-08-2022,10:56:24,успешно,нет,0.0
юр. лицо,списание средств,4672.7,наличный,Гродно,Белинвестбанк-TNCX-646,04-06-2022,14:19:33,недостаточно средств,да,54.86
физ. лицо,получение средств,4596.73,наличный,Могилев,МаксБанк-CGVX-451,24-03-2020,14:07:53,успешно,нет,0.0
юр. лицо,получение средств,537.21,безналичный,Могилев,МаксБанк-INBE-552,04-06-2003,22:25:52,успешно,нет,0.0
физ. лицо,получение средств,3506.27,наличный,Гродно,МаксБанк-NBGA-070,18-10-2017,03:03:12,успешно,нет,0.0
юр. лицо,списание средств,2659.18,наличный,Минск,Белинвестбанк-MDTH-106,12-08-2019,13:59:37,недостаточно средств,да,227.78
юр. лицо,получение средств,4169.1,наличный,Минск,Беларусбанк-XDZC-605,16-03-2015,13:22:42,успешно,нет,0.0
юр. лицо,получение средств,3486.09,безналичный,Могилев,Беларусбанк-IXWC-737,21-11-2009,13:00:31,успешно,нет,0.0
физ. лицо,списание средств,3569.12,безналичный,Витебск,МаксБанк-VJCI-341,24-09-2010,10:29:49,успешно,да,315.04
юр. лицо,получение средств,2916.78,безналичный,Гродно,Белинвестбанк-BWAI-703,17-10-2002,21:53:20,успешно,нет,0.0
юр. лицо,получение средств,2564.61,безналичный,Гродно,МаксБанк-HIBJ-141,12-02-2019,22:50:45,успешно,нет,0.0
юр. лицо,получение средств,408.13,безналичный,Брест,БелАгропромбанк-BCWF-791,23-10-2020,03:21:53,успешно,нет,0.0
физ. лицо,списание средств,678.97,наличный,Могилев,БелАгропромбанк-CMJI-199,07-06-2000,02:38:50,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3344.82,наличный,Могилев,МаксБанк-GOXL-172,04-06-2020,06:34:05,успешно,да,227.01
юр. лицо,получение средств,1059.95,наличный,Гродно,МаксБанк-MATY-071,04-04-2022,07:56:07,успешно,нет,0.0
физ. лицо,получение средств,875.13,безналичный,Могилев,Приорбанк-QYYG-034,15-07-2010,09:04:49,успешно,нет,0.0
юр. лицо,получение средств,4510.24,безналичный,Витебск,БелАгропромбанк-BGFJ-855,18-06-2010,12:16:14,успешно,нет,0.0
юр. лицо,списание средств,2558.18,наличный,Гродно,МаксБанк-TWNH-237,17-11-2011,01:04:04,недостаточно средств,нет,0.0
физ. лицо,получение средств,1496.05,наличный,Витебск,Белинвестбанк-GJEE-441,19-07-2004,09:21:49,успешно,нет,0.0
юр. лицо,списание средств,4459.04,безналичный,Гродно,Беларусбанк-IBYA-959,28-04-2007,10:45:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1138.81,наличный,Гомель,Беларусбанк-OBGW-809,14-03-2020,06:54:58,успешно,нет,0.0
физ. лицо,получение средств,389.85,наличный,Гомель,БелАгропромбанк-CPUB-374,02-07-2010,19:26:41,успешно,нет,0.0
физ. лицо,списание средств,3179.14,наличный,Минск,Белинвестбанк-KURM-630,13-04-2018,13:39:59,успешно,да,240.86
юр. лицо,получение средств,3174.77,наличный,Могилев,МаксБанк-ZEQY-147,07-11-2022,22:00:10,успешно,нет,0.0
юр. лицо,списание средств,2563.49,безналичный,Брест,БелАгропромбанк-BEJW-003,21-05-2021,15:49:32,недостаточно средств,нет,0.0
юр. лицо,списание средств,1903.78,безналичный,Минск,Белинвестбанк-JTXZ-526,15-12-2006,02:02:39,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4262.42,наличный,Минск,Беларусбанк-LAAM-735,04-11-2009,14:47:50,недостаточно средств,нет,0.0
физ. лицо,получение средств,3125.63,безналичный,Брест,Белинвестбанк-HLBZ-478,11-06-2020,19:29:58,успешно,нет,0.0
юр. лицо,получение средств,4146.93,безналичный,Гомель,БелАгропромбанк-IPDA-332,18-03-2001,17:11:40,успешно,нет,0.0
физ. лицо,получение средств,1066.53,безналичный,Могилев,Приорбанк-PBVP-849,14-10-2019,19:17:30,успешно,нет,0.0
юр. лицо,получение средств,2243.1,безналичный,Минск,Белинвестбанк-NVWA-172,09-08-2003,22:25:19,успешно,нет,0.0
физ. лицо,получение средств,296.16,наличный,Могилев,Беларусбанк-TCMN-856,06-01-2003,07:53:37,успешно,нет,0.0
физ. лицо,списание средств,1628.86,наличный,Гомель,МаксБанк-LCXC-349,27-04-2008,10:44:43,успешно,да,159.47
юр. лицо,списание средств,1692.52,наличный,Минск,Приорбанк-JTFS-123,06-08-2009,19:07:48,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2288.64,безналичный,Могилев,Белинвестбанк-UDPD-296,21-01-2009,19:17:36,успешно,нет,0.0
физ. лицо,получение средств,332.05,наличный,Витебск,Белинвестбанк-ORJD-571,18-11-2008,18:22:45,успешно,нет,0.0
юр. лицо,списание средств,2447.19,безналичный,Гродно,БелАгропромбанк-FKVK-637,11-12-2016,19:42:16,неправильный ввод пин-кода,да,147.51
физ. лицо,списание средств,1026.19,наличный,Витебск,БелАгропромбанк-QYDH-585,08-10-2024,15:46:51,успешно,нет,0.0
физ. лицо,списание средств,4089.35,наличный,Гомель,Белинвестбанк-IKDR-819,04-03-2014,17:32:13,недостаточно средств,нет,0.0
юр. лицо,получение средств,3588.31,безналичный,Гомель,Белинвестбанк-UHVF-358,26-01-2006,05:23:32,успешно,нет,0.0
физ. лицо,списание средств,4567.74,безналичный,Брест,МаксБанк-PCBU-277,06-01-2006,20:23:49,успешно,нет,0.0
физ. лицо,получение средств,3414.61,наличный,Могилев,Приорбанк-ZUVZ-680,12-09-2006,18:56:12,успешно,нет,0.0
юр. лицо,получение средств,1895.88,наличный,Минск,Белинвестбанк-JYAB-988,13-11-2007,21:33:08,успешно,нет,0.0
юр. лицо,получение средств,2163.91,наличный,Гомель,Приорбанк-YIAH-185,26-06-2021,11:43:34,успешно,нет,0.0
физ. лицо,получение средств,3650.56,наличный,Гомель,Приорбанк-XCWH-240,13-03-2011,04:57:31,успешно,нет,0.0
физ. лицо,получение средств,4440.22,наличный,Минск,Беларусбанк-RBAU-135,13-09-2009,10:16:54,успешно,нет,0.0
физ. лицо,списание средств,1596.29,безналичный,Могилев,БелАгропромбанк-HLQF-802,29-10-2023,04:51:42,неправильный ввод пин-кода,да,108.63
физ. лицо,списание средств,3188.93,наличный,Витебск,Беларусбанк-FPMY-237,08-01-2014,19:44:44,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2043.5,наличный,Гродно,Беларусбанк-WCTT-585,08-06-2014,15:58:11,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3163.27,безналичный,Могилев,Белинвестбанк-ZYVO-980,26-03-2023,22:21:53,неправильный ввод пин-кода,да,255.7
юр. лицо,получение средств,4886.43,наличный,Брест,БелАгропромбанк-LFWI-190,10-12-2007,23:35:12,успешно,нет,0.0
юр. лицо,получение средств,4898.44,безналичный,Брест,БелАгропромбанк-AIDA-656,11-10-2015,23:24:57,успешно,нет,0.0
физ. лицо,получение средств,3325.78,безналичный,Гомель,МаксБанк-WGQV-848,29-12-2007,19:43:06,успешно,нет,0.0
юр. лицо,списание средств,1228.59,безналичный,Брест,МаксБанк-FJJV-649,20-05-2013,10:40:11,неправильный ввод пин-кода,да,16.93
физ. лицо,получение средств,3560.26,безналичный,Могилев,Белинвестбанк-HHGS-098,22-05-2009,22:00:17,успешно,нет,0.0
юр. лицо,списание средств,3738.59,безналичный,Могилев,БелАгропромбанк-DZGG-172,18-11-2000,09:11:33,успешно,да,140.94
физ. лицо,получение средств,1165.91,безналичный,Гомель,Беларусбанк-NYMH-530,28-04-2022,11:00:55,успешно,нет,0.0
физ. лицо,списание средств,2704.79,безналичный,Брест,МаксБанк-RTKG-158,15-07-2007,00:52:41,недостаточно средств,нет,0.0
юр. лицо,получение средств,2222.69,наличный,Могилев,Приорбанк-MAFN-113,10-09-2002,03:15:34,успешно,нет,0.0
юр. лицо,списание средств,4281.72,безналичный,Витебск,Белинвестбанк-LQYN-956,21-03-2006,19:28:40,успешно,нет,0.0
физ. лицо,списание средств,1832.9,наличный,Минск,БелАгропромбанк-UODJ-707,20-04-2004,12:19:20,успешно,да,86.22
физ. лицо,списание средств,4825.01,безналичный,Витебск,БелАгропромбанк-RKQV-764,18-08-2012,12:28:05,неправильный ввод пин-кода,да,186.64
юр. лицо,получение средств,1998.21,наличный,Брест,Беларусбанк-DIGH-324,28-11-2016,00:28:47,успешно,нет,0.0
физ. лицо,получение средств,329.92,наличный,Витебск,МаксБанк-UPYY-005,21-10-2020,02:16:32,успешно,нет,0.0
физ. лицо,получение средств,3614.77,безналичный,Витебск,Белинвестбанк-HQMG-544,17-11-2001,10:29:19,успешно,нет,0.0
юр. лицо,списание средств,4985.52,безналичный,Брест,БелАгропромбанк-NVMU-220,11-09-2019,03:54:01,успешно,да,120.9
юр. лицо,получение средств,2373.92,безналичный,Гомель,МаксБанк-NRAS-223,31-05-2012,04:25:49,успешно,нет,0.0
физ. лицо,списание средств,138.07,безналичный,Брест,Белинвестбанк-ZSDA-709,02-04-2023,20:14:01,неправильный ввод пин-кода,да,11.32
юр. лицо,получение средств,3932.3,безналичный,Гродно,Белинвестбанк-JNKW-752,21-11-2024,04:42:52,успешно,нет,0.0
юр. лицо,получение средств,4391.35,наличный,Могилев,Приорбанк-UEDZ-461,29-03-2003,20:56:47,успешно,нет,0.0
физ. лицо,получение средств,1882.38,безналичный,Витебск,Приорбанк-DOMQ-924,16-11-2017,15:30:18,успешно,нет,0.0
юр. лицо,списание средств,1553.69,наличный,Гомель,Беларусбанк-MEPP-268,19-08-2008,20:03:33,успешно,да,59.42
юр. лицо,списание средств,1834.77,наличный,Минск,БелАгропромбанк-OPWM-042,04-03-2001,00:32:17,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4512.0,наличный,Брест,Приорбанк-TIPT-660,25-07-2013,00:48:37,недостаточно средств,да,430.73
физ. лицо,получение средств,64.45,безналичный,Гомель,Приорбанк-LYAH-238,11-12-2010,07:57:07,успешно,нет,0.0
юр. лицо,списание средств,2616.09,безналичный,Минск,Приорбанк-CHOF-176,23-02-2000,05:43:28,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3699.22,наличный,Брест,БелАгропромбанк-AOQL-017,16-09-2005,11:38:01,успешно,нет,0.0
физ. лицо,получение средств,3120.6,безналичный,Витебск,Приорбанк-LZUY-247,11-10-2006,23:02:48,успешно,нет,0.0
юр. лицо,списание средств,2276.89,наличный,Витебск,Приорбанк-NWUS-140,19-08-2000,12:36:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3838.26,безналичный,Минск,Белинвестбанк-GXLS-944,23-09-2014,18:51:06,успешно,нет,0.0
юр. лицо,списание средств,352.8,безналичный,Брест,Белинвестбанк-SSTZ-101,06-11-2018,01:55:23,успешно,да,5.01
юр. лицо,получение средств,1318.91,безналичный,Гродно,Беларусбанк-VRXO-773,04-09-2010,09:41:08,успешно,нет,0.0
юр. лицо,списание средств,3403.28,наличный,Витебск,Приорбанк-DYKM-428,16-05-2003,01:05:35,неправильный ввод пин-кода,да,80.87
юр. лицо,списание средств,2194.16,безналичный,Гомель,Приорбанк-QCGA-332,09-06-2024,08:32:25,успешно,да,174.14
физ. лицо,получение средств,329.92,наличный,Витебск,МаксБанк-UPYY-005,21-10-2020,02:16:32,успешно,нет,0.0
юр. лицо,получение средств,4572.44,наличный,Могилев,МаксБанк-UUUO-267,02-02-2008,07:09:05,успешно,нет,0.0
физ. лицо,списание средств,2632.31,безналичный,Гродно,Приорбанк-CMIX-618,18-09-2007,21:39:45,успешно,нет,0.0
юр. лицо,получение средств,3157.67,наличный,Могилев,Приорбанк-JCLL-582,24-04-2002,08:00:35,успешно,нет,0.0
юр. лицо,получение средств,4776.84,безналичный,Гродно,МаксБанк-JTHR-955,17-09-2006,16:06:03,успешно,нет,0.0
юр. лицо,получение средств,313.24,наличный,Минск,Беларусбанк-YWLA-295,10-09-2007,15:19:11,успешно,нет,0.0
